iter	Passed	Remaining
170	1171	5681
171	1177	5667
172	1182	5653
173	1187	5639
174	1192	5623
175	1197	5608
176	1202	5593
177	1208	5579
178	1213	5566
179	1219	5555
180	1224	5542
181	1230	5529
182	1235	5516
183	1241	5504
184	1246	5491
185	1251	5476
186	1256	5464
187	1262	5451
188	1267	5439
189	1273	5427
190	1277	5413
191	1283	5399
192	1288	5388
193	1294	5378
194	1299	5365
195	1305	5355
196	1310	5343
197	1316	5331
198	1321	5320
199	1327	5309
200	1332	5297
201	1338	5287
202	1343	5275
203	1348	5263
204	1353	5250
205	1359	5238
206	1364	5225
207	1369	5213
208	1374	5200
209	1379	5190
210	1385	5179
211	1390	5167
212	1395	5155
213	1400	5143
214	1405	5131
215	1411	5122
216	1416	5111
217	1420	5096
218	1425	5084
219	1430	5072
220	1435	5061
221	1440	5049
222	1445	5037
223	1450	5025
224	1455	5014
225	1460	5003
226	1466	4992
227	1471	4982
228	1476	4972
229	1482	4961
230	1487	4950
231	1492	4939
232	1497	4928
233	1502	4918
234	1507	4908
235	1513	4898
236	1518	4888
237	1524	4879
238	1529	4868
239	1534	4858
240	1539	4849
241	1544	4839
242	1549	4828
243	1555	4820
244	1560	4809
245	1565	4799
246	1571	4789
247	1576	4780
248	1581	4770
249	1586	4760
250	1591	4749
251	1596	4739
252	1602	4730
253	1607	4721
254	1612	4711
255	1617	4701
256	1623	4692
257	1628	4683
258	1633	4673
259	1638	4664
260	1644	4654
261	1649	4645
262	1655	4637
263	1661	4630
264	1667	4624
265	1677	4630
266	1683	4622
267	1689	4614
268	1695	4606
269	1700	4598
270	1705	4589
271	1712	4582
272	1718	4576
273	1723	4566
274	1732	4568
275	1738	4560
276	1743	4551
277	1748	4541
278	1753	4531
279	1758	4522
280	1762	4510
281	1767	4500
282	1772	4490
283	1777	4480
284	1782	4470
285	1787	4461
286	1792	4451
287	1797	4442
288	1802	4433
289	1806	4422
290	1810	4411
291	1815	4401
292	1819	4390
293	1824	4381
294	1829	4373
295	1835	4364
296	1839	4354
297	1843	4343
298	1847	4331
299	1852	4323
300	1857	4313
301	1861	4301
302	1866	4294
303	1872	4286
304	1877	4278
305	1883	4271
306	1889	4266
307	1895	4259
308	1901	4251
309	1906	4244
310	1912	4236
311	1918	4229
312	1924	4223
313	1930	4217
314	1935	4209
315	1941	4202
316	1948	4197
317	1952	4188
318	1958	4180
319	1963	4172
320	1968	4164
321	1974	4156
322	1980	4150
323	1985	4142
324	1990	4133
325	1995	4126
326	2001	4119
327	2006	4110
328	2012	4103
329	2017	4095
330	2022	4087
331	2027	4079
332	2032	4071
333	2038	4064
334	2044	4058
335	2049	4050
336	2055	4044
337	2062	4038
338	2067	4031
339	2073	4024
340	2078	4016
341	2083	4009
342	2089	4002
343	2095	3995
344	2100	3988
345	2106	3981
346	2112	3974
347	2117	3967
348	2123	3960
349	2127	3951
350	2133	3945
351	2139	3939
352	2145	3932
353	2150	3924
354	2156	3918
355	2161	3910
356	2166	3901
357	2170	3892
358	2175	3883
359	2180	3876
360	2186	3870
361	2192	3863
362	2197	3855
363	2202	3848
364	2207	3840
365	2212	3832
366	2217	3825
367	2222	3817
368	2228	3810
369	2233	3802
370	2238	3795
371	2243	3787
372	2249	3780
373	2254	3773
374	2259	3765
375	2264	3758
376	2269	3750
377	2274	3743
378	2280	3736
379	2285	3728
380	2290	3721
381	2295	3714
382	2301	3707
383	2306	3699
384	2311	3692
385	2316	3684
386	2321	3677
387	2326	3670
388	2332	3662
389	2336	3655
390	2342	3648
391	2347	3641
392	2352	3633
393	2357	3626
394	2362	3619
395	2368	3612
396	2373	3605
397	2378	3598
398	2384	3591
399	2389	3584
400	2394	3576
401	2399	3569
402	2405	3563
403	2410	3556
404	2415	3549
405	2421	3542
406	2426	3535
407	2432	3528
408	2437	3521
409	2442	3514
410	2447	3507
411	2452	3500
412	2457	3493
413	2463	3487
414	2468	3479
415	2473	3472
416	2477	3464
417	2482	3456
418	2486	3447
419	2491	3440
420	2495	3431
421	2500	3424
422	2505	3417
423	2511	3411
424	2518	3407
425	2524	3401
426	2529	3394
427	2537	3391
428	2547	3390
429	2554	3386
430	2560	3379
431	2566	3375
432	2572	3368
433	2578	3362
434	2585	3357
435	2590	3351
436	2598	3347
437	2603	3340
438	2608	3333
439	2615	3329
440	2620	3322
441	2627	3316
442	2633	3311
443	2638	3304
444	2645	3299
445	2651	3293
446	2659	3289
447	2665	3283
448	2670	3277
449	2678	3274
450	2684	3267
451	2689	3260
452	2694	3254
453	2700	3247
454	2705	3241
455	2710	3233
456	2715	3226
457	2721	3220
458	2726	3213
459	2731	3206
460	2736	3199
461	2741	3192
462	2746	3185
463	2751	3178
464	2756	3171
465	2761	3164
466	2766	3157
467	2773	3152
468	2778	3146
469	2784	3140
470	2790	3133
471	2795	3126
472	2800	3120
473	2806	3113
474	2811	3107
475	2816	3100
476	2821	3093
477	2826	3086
478	2831	3079
479	2836	3072
480	2841	3066
481	2847	3059
482	2852	3053
483	2857	3046
484	2863	3040
485	2868	3033
486	2873	3027
487	2879	3020
488	2884	3014
489	2889	3007
490	2894	3001
491	2899	2994
492	2904	2987
493	2909	2980
494	2914	2973
495	2919	2966
496	2924	2960
497	2928	2951
498	2933	2945
499	2937	2937
500	2943	2931
501	2948	2924
502	2953	2918
503	2958	2912
504	2964	2905
505	2970	2900
506	2975	2893
507	2981	2887
508	2986	2881
509	2991	2874
510	2996	2867
511	3001	2860
512	3006	2854
513	3010	2846
514	3015	2839
515	3020	2832
516	3026	2827
517	3030	2820
518	3037	2814
519	3042	2808
520	3047	2802
521	3053	2796
522	3059	2790
523	3064	2784
524	3072	2779
525	3077	2773
526	3083	2767
527	3089	2762
528	3095	2756
529	3102	2751
530	3108	2745
531	3113	2739
532	3120	2734
533	3126	2728
534	3132	2722
535	3138	2716
536	3143	2710
537	3151	2706
538	3157	2700
539	3162	2694
540	3169	2689
541	3175	2683
542	3182	2678
543	3187	2672
544	3194	2666
545	3199	2660
546	3204	2653
547	3210	2647
548	3215	2641
549	3220	2635
550	3226	2629
551	3231	2622
552	3237	2616
553	3244	2612
554	3249	2605
555	3254	2599
556	3260	2593
557	3265	2586
558	3270	2580
559	3277	2575
560	3282	2568
561	3287	2562
562	3293	2556
563	3299	2550
564	3304	2544
565	3310	2538
566	3315	2532
567	3320	2525
568	3325	2519
569	3330	2512
570	3335	2506
571	3340	2499
572	3346	2493
573	3351	2487
574	3356	2480
575	3361	2474
576	3366	2468
577	3371	2461
578	3376	2455
579	3381	2449
580	3387	2442
581	3392	2436
582	3397	2429
583	3402	2423
584	3407	2417
585	3412	2410
586	3417	2404
587	3422	2398
588	3428	2392
589	3433	2386
590	3438	2379
591	3444	2373
592	3449	2367
593	3454	2361
594	3459	2354
595	3464	2348
596	3471	2343
597	3476	2336
598	3481	2330
599	3487	2325
600	3493	2319
601	3498	2313
602	3503	2306
603	3509	2301
604	3515	2294
605	3520	2288
606	3525	2282
607	3531	2277
608	3537	2271
609	3543	2265
610	3548	2259
611	3554	2253
612	3560	2247
613	3565	2241
614	3571	2235
615	3577	2229
616	3582	2224
617	3588	2218
618	3594	2212
619	3600	2206
620	3606	2201
621	3612	2195
622	3617	2189
623	3624	2184
624	3630	2178
625	3636	2172
626	3642	2166
627	3647	2160
628	3653	2155
629	3659	2148
630	3664	2142
631	3668	2136
632	3674	2130
633	3679	2124
634	3685	2118
635	3689	2111
636	3694	2105
637	3699	2099
638	3703	2092
639	3708	2085
640	3713	2080
641	3719	2074
642	3725	2068
643	3730	2062
644	3735	2056
645	3739	2049
646	3742	2042
647	3746	2035
648	3750	2028
649	3755	2022
650	3760	2016
651	3765	2009
652	3770	2003
653	3775	1997
654	3780	1991
655	3786	1985
656	3790	1979
657	3796	1973
658	3801	1967
659	3806	1961
660	3812	1955
661	3818	1949
662	3823	1943
663	3829	1937
664	3834	1931
665	3840	1926
666	3846	1920
667	3852	1914
668	3858	1908
669	3863	1902
670	3869	1897
671	3875	1891
672	3880	1885
673	3885	1879
674	3891	1873
675	3896	1867
676	3902	1861
677	3908	1856
678	3913	1850
679	3918	1844
680	3924	1838
681	3929	1832
682	3934	1826
683	3940	1820
684	3945	1814
685	3950	1808
686	3955	1802
687	3961	1796
688	3967	1790
689	3972	1784
690	3977	1778
691	3983	1773
692	3989	1767
693	3995	1761
694	4001	1756
695	4006	1749
696	4011	1743
697	4018	1738
698	4023	1732
699	4028	1726
700	4034	1720
701	4039	1714
702	4045	1708
703	4050	1703
704	4055	1697
705	4060	1691
706	4066	1685
707	4071	1679
708	4076	1673
709	4082	1667
710	4087	1661
711	4092	1655
712	4097	1649
713	4103	1643
714	4108	1637
715	4113	1631
716	4119	1625
717	4124	1620
718	4130	1614
719	4135	1608
720	4141	1602
721	4146	1596
722	4152	1590
723	4157	1584
724	4162	1578
725	4167	1572
726	4173	1567
727	4179	1561
728	4184	1555
729	4189	1549
730	4195	1543
731	4200	1537
732	4205	1531
733	4210	1526
734	4216	1520
735	4221	1514
736	4227	1508
737	4232	1502
738	4239	1497
739	4244	1491
740	4249	1485
741	4255	1479
742	4261	1474
743	4267	1468
744	4272	1462
745	4278	1456
746	4283	1450
747	4289	1445
748	4294	1439
749	4300	1433
750	4306	1427
751	4311	1421
752	4317	1416
753	4323	1410
754	4329	1404
755	4335	1399
756	4343	1394
757	4351	1389
758	4356	1383
759	4361	1377
760	4366	1371
761	4369	1364
762	4374	1358
763	4380	1353
764	4386	1347
765	4392	1341
766	4396	1335
767	4400	1329
768	4404	1323
769	4409	1317
770	4413	1310
771	4417	1304
772	4423	1298
773	4428	1292
774	4434	1287
775	4439	1281
776	4445	1275
777	4450	1269
778	4455	1264
779	4460	1258
780	4466	1252
781	4471	1246
782	4476	1240
783	4482	1234
784	4487	1229
785	4492	1223
786	4497	1217
787	4503	1211
788	4508	1205
789	4513	1199
790	4519	1194
791	4524	1188
792	4529	1182
793	4534	1176
794	4540	1170
795	4545	1164
796	4550	1159
797	4555	1153
798	4561	1147
799	4566	1141
800	4571	1135
801	4576	1129
802	4582	1124
803	4587	1118
804	4592	1112
805	4597	1106
806	4603	1100
807	4608	1095
808	4613	1089
809	4618	1083
810	4623	1077
811	4628	1071
812	4633	1065
813	4639	1060
814	4644	1054
815	4649	1048
816	4654	1042
817	4660	1036
818	4665	1031
819	4670	1025
820	4676	1019
821	4681	1013
822	4687	1008
823	4693	1002
824	4699	996
825	4705	991
826	4711	985
827	4716	979
828	4721	973
829	4727	968
830	4732	962
831	4738	956
832	4743	951
833	4749	945
834	4754	939
835	4759	933
836	4764	927
837	4770	922
838	4775	916
839	4780	910
840	4786	904
841	4791	899
842	4797	893
843	4802	887
844	4807	881
845	4813	876
846	4819	870
847	4824	864
848	4829	859
849	4835	853
850	4841	847
851	4846	841
852	4852	836
853	4858	830
854	4863	824
855	4869	819
856	4875	813
857	4880	807
858	4885	801
859	4891	796
860	4896	790
861	4902	784
862	4907	779
863	4913	773
864	4918	767
865	4924	761
866	4929	756
867	4934	750
868	4940	744
869	4945	738
870	4950	733
871	4956	727
872	4963	722
873	4969	716
874	4974	710
875	4981	705
876	4987	699
877	4993	693
878	4998	688
879	5004	682
880	5009	676
881	5014	670
882	5020	665
883	5025	659
884	5030	653
885	5036	648
886	5041	642
887	5047	636
888	5052	630
889	5057	625
890	5063	619
891	5068	613
892	5073	607
893	5078	602
894	5084	596
895	5089	590
896	5094	584
897	5099	579
898	5104	573
899	5109	567
900	5115	562
901	5120	556
902	5126	550
903	5131	544
904	5136	539
905	5142	533
906	5147	527
907	5153	522
908	5158	516
909	5163	510
910	5169	505
911	5174	499
912	5179	493
913	5185	487
914	5190	482
915	5195	476
916	5201	470
917	5206	465
918	5211	459
919	5217	453
920	5222	447
921	5227	442
922	5232	436
923	5237	430
924	5243	425
925	5248	419
926	5253	413
927	5258	408
928	5264	402
929	5269	396
930	5275	390
931	5280	385
932	5285	379
933	5290	373
934	5295	368
935	5300	362
936	5306	356
937	5311	351
938	5316	345
939	5321	339
940	5327	333
941	5332	328
942	5337	322
943	5342	316
944	5347	311
945	5352	305
946	5358	299
947	5363	294
948	5369	288
949	5374	282
950	5379	277
951	5384	271
952	5389	265
953	5396	260
954	5402	254
955	5408	248
956	5414	243
957	5419	237
958	5425	231
959	5430	226
960	5437	220
961	5442	214
962	5447	209
963	5452	203
964	5458	197
965	5464	192
966	5469	186
967	5474	180
968	5480	175
969	5486	169
970	5492	164
971	5497	158
972	5502	152
973	5508	147
974	5513	141
975	5518	135
976	5524	130
977	5530	124
978	5535	118
979	5540	113
980	5545	107
981	5551	101
982	5555	96
983	5559	90
984	5564	84
985	5570	79
986	5575	73
987	5580	67
988	5585	62
989	5590	56
990	5595	50
991	5599	45
992	5604	39
993	5609	33
994	5614	28
995	5620	22
996	5625	16
997	5630	11
998	5635	5
999	5640	0
