iter	RMSE
145	378330.7586
146	378052.6087
147	377878.5938
148	377340.5103
149	376939.1848
150	376715.9169
151	376670.5109
152	376574.0791
153	376175.7418
154	375711.6603
155	375405.2058
156	375038.4603
157	374967.5734
158	374675.7852
159	374209.1562
160	373785.8852
161	373388.9456
162	372869.6465
163	372789.033
164	372424.4411
165	372103.3438
166	371732.4131
167	371581.9938
168	371322.2801
169	371027.9857
170	370956.8543
171	370559.9212
172	370508.3732
173	370348.3634
174	370022.6045
175	369938.2435
176	369785.5818
177	369465.9917
178	369397.4872
179	369202.7466
180	368732.5902
181	368514.0786
182	368155.1532
183	367802.8511
184	367660.1077
185	367533.0892
186	367130.0206
187	367051.5386
188	366682.9982
189	366346.1778
190	366092.0179
191	365739.082
192	365602.2443
193	365431.8831
194	365297.7853
195	365072.7899
196	364926.4524
197	364726.2217
198	364345.3854
199	364226.5662
200	364104.493
201	363867.3192
202	363699.1948
203	363377.0697
204	363325.1398
205	362993.6299
206	362892.0944
207	362764.5
208	362568.9738
209	362266.8214
210	361986.0214
211	361440.1169
212	361156.9663
213	361007.6331
214	360828.237
215	360707.3484
216	360642.6308
217	360363.6637
218	360239.3589
219	359983.9582
220	359789.6784
221	359586.933
222	359405.5388
223	359198.7963
224	359102.5058
225	358916.3378
226	358803.2236
227	358735.549
228	358675.9519
229	358440.0996
230	358361.2292
231	358308.5131
232	358074.9448
233	357821.2158
234	357638.1129
235	357437.3866
236	357288.1397
237	357168.9084
238	357063.9803
239	356878.7165
240	356673.0829
241	356490.0827
242	356321.3727
243	356185.0281
244	356029.8835
245	355940.0188
246	355566.6072
247	355424.2931
248	355271.764
249	355066.6586
250	354974.4536
251	354881.4818
252	354712.2639
253	354531.0134
254	354428.7784
255	354302.3055
256	354153.75
257	354105.9527
258	353948.6001
259	353505.7032
260	353311.8202
261	353112.4439
262	353025.2257
263	352849.7019
264	352705.5456
265	352616.146
266	352487.9794
267	352221.4065
268	352147.7441
269	352027.6915
270	351877.6586
271	351756.5399
272	351699.2076
273	351521.5235
274	351472.5511
275	351403.7751
276	351246.1019
277	351097.5639
278	350901.9589
279	350823.6008
280	350729.3045
281	350617.7321
282	350481.3846
283	350384.6288
284	350228.4637
285	350117.9574
286	349830.6974
287	349634.7728
288	349503.9245
289	349361.0355
290	349143.2107
291	349069.5164
292	348930.5444
293	348867.704
294	348727.1145
295	348577.8098
296	348540.8528
297	348428.4186
298	348301.6715
299	348195.9235
300	348166.6309
301	348061.8753
302	347934.4922
303	347755.4139
304	347657.5935
305	347433.4897
306	347299.963
307	347254.6241
308	347066.5798
309	346966.8547
310	346816.9557
311	346659.3934
312	346584.6611
313	346377.1747
314	346185.615
315	346054.1751
316	345962.1819
317	345891.9524
318	345795.3915
319	345694.6224
320	345455.6167
321	345369.5602
322	345283.4332
323	345216.0818
324	345122.5981
325	344783.6569
326	344658.8092
327	344458.7533
328	344305.6643
329	344183.8276
330	344093.3326
331	343994.8866
332	343881.9108
333	343796.4799
334	343741.116
335	343584.5014
336	343497.098
337	343342.3955
338	343140.2982
339	343031.4137
340	342675.3469
341	342544.8648
342	342462.2955
343	342375.7513
344	342081.4277
345	342002.1319
346	341887.0248
347	341796.3552
348	341730.4404
349	341409.87
350	341310.1612
351	341128.5185
352	341027.0541
353	340950.769
354	340846.0966
355	340715.7865
356	340516.735
357	340445.1014
358	340368.7852
359	340232.94
360	340154.3106
361	340070.9412
362	339998.3161
363	339747.5116
364	339674.0264
365	339380.9841
366	339096.0648
367	338836.0191
368	338669.9911
369	338535.493
370	338436.7303
371	338196.0725
372	338131.7963
373	338044.1563
374	337880.347
375	337833.7402
376	337687.1253
377	337622.7252
378	337553.0364
379	337503.3484
380	337425.2408
381	337313.8727
382	337242.1221
383	337007.735
384	336824.9728
385	336691.2265
386	336535.4816
387	336453.2001
388	336376.722
389	336328.1222
390	336217.7321
391	336118.1145
392	336060.8343
393	335914.4832
394	335828.0872
395	335771.6182
396	335644.9498
397	335570.4957
398	335339.5234
399	335228.9655
400	335187.1713
401	335024.1781
402	334970.89
403	334859.0236
404	334661.9985
405	334605.9498
406	334434.8264
407	334351.7783
408	334278.5026
409	334204.8352
410	334042.0385
411	333979.1539
412	333867.7767
413	333745.1257
414	333627.9668
415	333529.1646
416	333430.8638
417	333308.0044
418	333195.2404
419	332977.4548
420	332905.8083
421	332841.4973
422	332628.1363
423	332532.9989
424	332462.2617
425	332376.42
426	332326.2251
427	332272.0374
428	332219.4435
429	332160.6422
430	332079.5981
431	331933.4292
432	331721.8454
433	331672.4593
434	331622.2525
435	331579.3467
436	331446.4812
437	331382.2853
438	331186.4238
439	331137.8322
440	331045.5877
441	331006.0469
442	330960.7971
443	330823.0522
444	330791.7524
445	330758.373
446	330660.9545
447	330561.2122
448	330494.4309
449	330449.312
450	330388.7375
451	330330.8639
452	330140.0853
453	330079.4887
454	330030.7531
455	330002.9635
456	329813.9286
457	329756.262
458	329703.2843
459	329593.0895
460	329562.4562
461	329427.7997
462	329374.4616
463	329316.2121
464	329175.7167
465	329065.0529
466	328932.3847
467	328853.0956
468	328831.1886
469	328695.8376
470	328540.042
471	328495.411
472	328440.1016
473	328385.2856
474	328362.406
475	328196.2962
476	328129.2718
477	328070.8596
478	327932.6224
479	327837.6753
480	327672.7573
481	327636.0566
482	327514.3758
483	327359.6098
484	327274.8884
485	327171.7684
486	327043.897
487	327002.8435
488	326951.3285
489	326919.4938
490	326866.9146
491	326815.4659
492	326774.0612
493	326676.3128
494	326639.3343
495	326602.0231
496	326519.4685
497	326446.8508
498	326303.0331
499	326158.9908
500	326017.7235
501	325981.6663
502	325891.5516
503	325744.1025
504	325678.4663
505	325601.5808
506	325492.6772
507	325462.1592
508	325420.106
509	325384.0498
510	325302.7828
511	325261.2694
512	325200.5509
513	325163.1776
514	325117.5997
515	325083.5166
516	324990.7857
517	324902.4686
518	324861.0012
519	324776.811
520	324723.8579
521	324640.0031
522	324569.6853
523	324442.6748
524	324400.4729
525	324359.1246
526	324237.5002
527	324184.5683
528	324093.8987
529	324026.0811
530	323980.2718
531	323921.6311
532	323869.9624
533	323803.3257
534	323751.2702
535	323682.1698
536	323614.2042
537	323530.4182
538	323470.0976
539	323333.7954
540	323275.6771
541	323160.7426
542	323106.7833
543	322990.2784
544	322910.3032
545	322835.0744
546	322809.0113
547	322769.6564
548	322719.3386
549	322679.411
550	322610.5291
551	322548.8318
552	322452.1672
553	322392.2822
554	322331.5734
555	322260.5286
556	322214.67
557	322115.6885
558	322019.9121
559	321910.4563
560	321823.8389
561	321746.0304
562	321691.6326
563	321639.2778
564	321551.5774
565	321480.1488
566	321454.6609
567	321414.5147
568	321313.1315
569	321264.9545
570	321185.5743
571	321113.7737
572	320987.0458
573	320948.6168
574	320882.9236
575	320854.9138
576	320797.9938
577	320766.4135
578	320627.2515
579	320542.9589
580	320487.7251
581	320360.4821
582	320314.5094
583	320268.7122
584	320173.2904
585	320103.1026
586	320015.1512
587	319922.3074
588	319837.0285
589	319801.1224
590	319774.2397
591	319710.0989
592	319654.1818
593	319568.1267
594	319492.6618
595	319463.8831
596	319420.0908
597	319340.67
598	319260.1119
599	319192.01
600	319081.5566
601	319052.4619
602	318956.2107
603	318916.6092
604	318876.9541
605	318818.1638
606	318765.3552
607	318720.4463
608	318694.1957
609	318585.0441
610	318508.2529
611	318434.765
612	318375.7101
613	318356.34
614	318282.1768
615	318240.4928
616	318211.8822
617	318126.3596
618	318049.3829
619	317986.302
620	317867.383
621	317785.792
622	317720.1292
623	317590.8071
624	317514.1414
625	317470.9594
626	317399.6479
627	317365.9529
628	317324.3092
629	317252.2907
630	317155.3261
631	317051.863
632	317019.121
633	316953.5966
634	316898.1234
635	316857.0923
636	316740.7668
637	316682.0836
638	316627.1068
639	316575.3149
640	316457.8958
641	316414.4736
642	316373.6599
643	316295.8434
644	316240.9478
645	316175.7163
646	316123.9298
647	316011.1816
648	315973.433
649	315889.6094
650	315830.1036
651	315723.406
652	315660.1946
653	315622.7086
654	315564.3172
655	315456.4898
656	315358.114
657	315252.6542
658	315224.7971
659	315185.8087
660	315086.0468
661	314964.2382
662	314923.5765
663	314870.2614
664	314837.824
665	314781.9276
666	314693.7822
667	314658.8834
668	314578.5944
669	314475.8753
670	314425.5243
671	314398.3134
672	314355.0365
673	314307.3744
674	314233.0502
675	314188.8006
676	314147.3163
677	314042.1011
678	314020.3026
679	313952.607
680	313917.2625
681	313875.7605
682	313803.0581
683	313722.0424
684	313685.9417
685	313652.1877
686	313619.4223
687	313602.6791
688	313489.882
689	313392.9296
690	313306.7171
691	313210.594
692	313174.0376
693	313145.7349
694	313100.3463
695	313065.1899
696	313019.6922
697	312988.3924
698	312951.6412
699	312851.3562
700	312797.98
701	312749.3729
702	312715.8221
703	312677.9367
704	312628.7842
705	312546.1971
706	312507.952
707	312460.8286
708	312406.4401
709	312385.0668
710	312355.9656
711	312333.8463
712	312286.3654
713	312256.2958
714	312220.4232
715	312131.9651
716	312093.782
717	312047.3485
718	312004.8328
719	311962.0518
720	311893.1667
721	311727.7152
722	311698.1899
723	311637.3898
724	311581.5546
725	311554.1108
726	311524.4261
727	311453.8697
728	311420.3018
729	311398.9713
730	311341.6273
731	311288.0637
732	311254.9849
733	311195.505
734	311096.5399
735	311034.5546
736	310968.4631
737	310938.8822
738	310903.4238
739	310843.2851
740	310770.2294
741	310734.4108
742	310712.3598
743	310680.3857
744	310579.4451
745	310544.7459
746	310507.8194
747	310432.176
748	310360.4389
749	310297.1884
750	310243.2439
751	310199.926
752	310124.9169
753	310042.8008
754	310005.0801
755	309970.6673
756	309932.6051
757	309898.3323
758	309825.8785
759	309724.0073
760	309691.4548
761	309658.5474
762	309624.5751
763	309593.1544
764	309517.7992
765	309469.4858
766	309429.803
767	309373.3234
768	309305.004
769	309245.3615
770	309208.4453
771	309110.7629
772	309050.9493
773	308982.8667
774	308931.8146
775	308891.9662
776	308865.5094
777	308824.3717
778	308800.046
779	308784.5948
780	308739.222
781	308716.3683
782	308569.9227
783	308521.5191
784	308475.884
785	308433.3806
786	308364.4691
787	308271.1765
788	308241.0349
789	308207.4479
790	308174.3887
791	308112.5597
792	308056.3226
793	308028.0602
794	307990.5338
795	307916.6603
796	307889.4824
797	307861.3037
798	307839.353
799	307787.2959
800	307741.4865
801	307681.3823
802	307650.0277
803	307608.2888
804	307582.2943
805	307529.1906
806	307483.24
807	307429.6223
808	307381.9695
809	307309.656
810	307267.5172
811	307222.326
812	307189.8669
813	307058.5969
814	307016.1014
815	306992.2235
816	306932.7601
817	306889.0368
818	306859.2655
819	306837.4118
820	306816.2378
821	306777.154
822	306718.2042
823	306681.6886
824	306620.4961
825	306565.2774
826	306543.1538
827	306478.4761
828	306438.185
829	306379.7633
830	306339.6107
831	306291.7205
832	306268.7538
833	306206.1349
834	306152.5517
835	306069.2911
836	306041.7661
837	306015.1059
838	305953.5478
839	305895.0111
840	305814.1002
841	305794.5098
842	305738.491
843	305713.5178
844	305676.1439
845	305650.8292
846	305603.3835
847	305585.9047
848	305532.7504
849	305492.3449
850	305460.0256
851	305424.3046
852	305399.5225
853	305352.9768
854	305296.4367
855	305282.7907
856	305256.4732
857	305229.9646
858	305178.504
859	305140.4509
860	305091.9237
861	305037.6273
862	304993.7884
863	304967.4089
864	304944.3591
865	304904.0374
866	304884.3494
867	304846.9309
868	304823.5544
869	304760.589
870	304725.1336
871	304692.1514
872	304674.4135
873	304596.7374
874	304509.1594
875	304479.3055
876	304390.3965
877	304342.0245
878	304318.4854
879	304289.3045
880	304254.8251
881	304202.4141
882	304184.334
883	304144.5761
884	304116.3804
885	304079.2842
886	304046.9541
887	304023.2658
888	303986.8024
889	303948.3806
890	303908.381
891	303872.3128
892	303837.8659
893	303818.6227
894	303798.8436
895	303761.6326
896	303717.1045
897	303670.4538
898	303627.7718
899	303593.4476
900	303558.9554
901	303502.0751
902	303462.4861
903	303417.8301
904	303384.2878
905	303349.8608
906	303319.7327
907	303304.0458
908	303267.3876
909	303236.1986
910	303216.6653
911	303163.3714
912	303140.8855
913	303104.5789
914	303079.1048
915	303046.6456
916	303015.2201
917	302981.6672
918	302904.3142
919	302831.6894
920	302810.2277
921	302792.3309
922	302767.3917
923	302746.992
924	302717.5417
925	302670.9657
926	302620.7872
927	302545.362
928	302533.0755
929	302510.734
930	302492.5762
931	302443.0909
932	302411.1569
933	302372.4868
934	302285.2465
935	302235.2323
936	302162.5187
937	302096.0669
938	302023.9285
939	301993.9324
940	301973.5597
941	301925.3012
942	301897.2769
943	301834.3939
944	301799.8598
945	301749.9474
946	301711.6595
947	301671.3539
948	301616.6889
949	301595.2139
950	301565.3084
951	301547.8015
952	301502.4964
953	301451.4354
954	301403.8171
955	301369.309
956	301304.2277
957	301269.3668
958	301195.2163
959	301119.457
960	301092.3725
961	301044.2724
962	301004.4307
963	300925.0277
964	300888.3511
965	300849.3001
966	300807.4526
967	300755.7094
968	300728.8967
969	300690.9104
970	300663.2728
971	300608.7712
972	300558.0893
973	300507.5291
974	300466.503
975	300431.479
976	300410.7133
977	300364.6977
978	300320.9305
979	300278.7733
980	300234.514
981	300205.679
982	300179.31
983	300103.2545
984	299985.6583
985	299955.123
986	299919.4645
987	299877.9064
988	299842.3684
989	299817.8985
990	299792.399
991	299761.8547
992	299726.1959
993	299701.0589
994	299666.9144
995	299636.54
996	299591.2629
997	299570.9774
998	299533.8192
999	299494.8031
